fra;semaine;cl_age90;Nb_tests_PCR_TA_crible;Prc_tests_PCR_TA_crible;Nb_susp_501Y_V1;Prc_susp_501Y_V1;Nb_susp_501Y_V2_3;Prc_susp_501Y_V2_3;Nb_susp_IND;Prc_susp_IND;Nb_susp_ABS;Prc_susp_ABS
FR;2021-02-28-2021-03-06;69;10410;60.4;6552;62.9;552;5.3;847;8.1;2459;23.6
FR;2021-02-28-2021-03-06;79;6343;58;3900;61.5;256;4;580;9.1;1607;25.3
FR;2021-02-28-2021-03-06;89;3890;56.4;2103;54.1;157;4;417;10.7;1213;31.2
FR;2021-02-28-2021-03-06;90;1634;57.8;823;50.4;67;4.1;196;12;548;33.5
FR;2021-03-01-2021-03-07;09;4784;63.8;3219;67.3;213;4.5;506;10.6;846;17.7
FR;2021-03-01-2021-03-07;19;14277;61.2;9705;68;687;4.8;1147;8;2738;19.2
FR;2021-03-01-2021-03-07;29;16153;57.7;10907;67.5;764;4.7;1424;8.8;3058;18.9
FR;2021-03-01-2021-03-07;39;15619;58.3;10574;67.7;849;5.4;1279;8.2;2917;18.7
FR;2021-03-01-2021-03-07;49;15420;59.5;10511;68.2;722;4.7;1186;7.7;3001;19.5
FR;2021-03-01-2021-03-07;59;14204;59.4;9373;66;707;5;1136;8;2988;21
FR;2021-03-01-2021-03-07;69;10369;60.3;6553;63.2;547;5.3;847;8.2;2422;23.4
FR;2021-03-01-2021-03-07;79;6326;58.2;3909;61.8;249;3.9;581;9.2;1587;25.1
FR;2021-03-01-2021-03-07;89;3875;56.5;2106;54.3;158;4.1;414;10.7;1197;30.9
FR;2021-03-01-2021-03-07;90;1612;57.7;821;50.9;64;4;192;11.9;535;33.2
FR;2021-03-02-2021-03-08;09;4945;63.9;3377;68.3;234;4.7;530;10.7;804;16.3
FR;2021-03-02-2021-03-08;19;14500;60.9;10072;69.5;650;4.5;1231;8.5;2547;17.6
FR;2021-03-02-2021-03-08;29;16344;57.4;11218;68.6;787;4.8;1488;9.1;2851;17.4
FR;2021-03-02-2021-03-08;39;15691;58;10876;69.3;785;5;1295;8.3;2735;17.4
FR;2021-03-02-2021-03-08;49;15576;59.3;10884;69.9;703;4.5;1251;8;2738;17.6
FR;2021-03-02-2021-03-08;59;14225;59.2;9596;67.5;661;4.6;1196;8.4;2772;19.5
FR;2021-03-02-2021-03-08;69;10196;60;6635;65.1;509;5;862;8.5;2190;21.5
FR;2021-03-02-2021-03-08;79;6275;58.2;4014;64;260;4.1;557;8.9;1444;23
FR;2021-03-02-2021-03-08;89;3772;57.1;2080;55.1;168;4.5;402;10.7;1122;29.7
FR;2021-03-02-2021-03-08;90;1552;57.8;815;52.5;67;4.3;181;11.7;489;31.5
FR;2021-03-03-2021-03-09;09;5126;63.9;3512;68.5;249;4.9;545;10.6;820;16
FR;2021-03-03-2021-03-09;19;14829;60.5;10391;70.1;658;4.4;1292;8.7;2488;16.8
FR;2021-03-03-2021-03-09;29;16345;57.1;11363;69.5;807;4.9;1507;9.2;2668;16.3
FR;2021-03-03-2021-03-09;39;15666;57.6;10952;69.9;757;4.8;1330;8.5;2627;16.8
FR;2021-03-03-2021-03-09;49;15681;58.9;11103;70.8;701;4.5;1274;8.1;2603;16.6
FR;2021-03-03-2021-03-09;59;14218;58.8;9751;68.6;686;4.8;1207;8.5;2574;18.1
FR;2021-03-03-2021-03-09;69;10282;60.3;6780;65.9;507;4.9;883;8.6;2112;20.5
FR;2021-03-03-2021-03-09;79;6168;58.3;3987;64.6;279;4.5;544;8.8;1358;22
FR;2021-03-03-2021-03-09;89;3739;58.1;2124;56.8;165;4.4;398;10.6;1052;28.1
FR;2021-03-03-2021-03-09;90;1458;57.9;780;53.5;63;4.3;181;12.4;434;29.8
FR;2021-03-04-2021-03-10;09;5317;63.7;3663;68.9;268;5;563;10.6;823;15.5
FR;2021-03-04-2021-03-10;19;14928;59.6;10582;70.9;683;4.6;1309;8.8;2354;15.8
FR;2021-03-04-2021-03-10;29;16416;56.2;11559;70.4;831;5.1;1526;9.3;2500;15.2
FR;2021-03-04-2021-03-10;39;15664;56.7;11070;70.7;791;5;1327;8.5;2476;15.8
FR;2021-03-04-2021-03-10;49;15832;58.3;11293;71.3;742;4.7;1287;8.1;2510;15.9
FR;2021-03-04-2021-03-10;59;14275;58.5;9935;69.6;713;5;1252;8.8;2375;16.6
FR;2021-03-04-2021-03-10;69;10234;59.8;6859;67;507;5;878;8.6;1990;19.4
FR;2021-03-04-2021-03-10;79;6099;58.1;4006;65.7;271;4.4;554;9.1;1268;20.8
FR;2021-03-04-2021-03-10;89;3753;58.6;2200;58.6;169;4.5;394;10.5;990;26.4
FR;2021-03-04-2021-03-10;90;1452;59;822;56.6;59;4.1;175;12.1;396;27.3
FR;2021-03-05-2021-03-11;09;5387;61.9;3747;69.6;273;5.1;592;11;775;14.4
FR;2021-03-05-2021-03-11;19;14907;57.7;10767;72.2;695;4.7;1270;8.5;2175;14.6
FR;2021-03-05-2021-03-11;29;16306;54.5;11656;71.5;836;5.1;1506;9.2;2308;14.2
FR;2021-03-05-2021-03-11;39;15602;55.2;11171;71.6;782;5;1319;8.5;2330;14.9
FR;2021-03-05-2021-03-11;49;15703;56.7;11370;72.4;760;4.8;1247;7.9;2326;14.8
FR;2021-03-05-2021-03-11;59;14201;57.4;10032;70.6;714;5;1227;8.6;2228;15.7
FR;2021-03-05-2021-03-11;69;10098;58.3;6880;68.1;529;5.2;857;8.5;1832;18.1
FR;2021-03-05-2021-03-11;79;6019;56.9;3978;66.1;294;4.9;572;9.5;1175;19.5
FR;2021-03-05-2021-03-11;89;3631;57.6;2166;59.7;167;4.6;390;10.7;908;25
FR;2021-03-05-2021-03-11;90;1383;57.4;806;58.3;58;4.2;165;11.9;354;25.6
FR;2021-03-06-2021-03-12;09;5124;56.3;3635;70.9;268;5.2;540;10.5;681;13.3
FR;2021-03-06-2021-03-12;19;13903;52;10166;73.1;652;4.7;1142;8.2;1943;14
FR;2021-03-06-2021-03-12;29;15208;49.6;10966;72.1;803;5.3;1400;9.2;2039;13.4
FR;2021-03-06-2021-03-12;39;14572;50.3;10530;72.3;741;5.1;1233;8.5;2068;14.2
FR;2021-03-06-2021-03-12;49;14746;52.1;10786;73.1;726;4.9;1169;7.9;2065;14
FR;2021-03-06-2021-03-12;59;13186;52.7;9439;71.6;678;5.1;1132;8.6;1937;14.7
FR;2021-03-06-2021-03-12;69;9368;53.6;6471;69.1;477;5.1;790;8.4;1630;17.4
FR;2021-03-06-2021-03-12;79;5461;52.4;3661;67;273;5;504;9.2;1023;18.7
FR;2021-03-06-2021-03-12;89;3302;53;1986;60.1;161;4.9;365;11.1;790;23.9
FR;2021-03-06-2021-03-12;90;1248;52.4;745;59.7;52;4.2;146;11.7;305;24.4
FR;2021-02-12-2021-02-18;0;81556;52.1;38100;46.7;3517;4.3;6997;8.6;32942;40.4
FR;2021-02-13-2021-02-19;0;88900;55.3;41430;46.6;4012;4.5;7811;8.8;35647;40.1
FR;2021-02-14-2021-02-20;0;91891;56.3;43125;46.9;4278;4.7;7979;8.7;36509;39.7
FR;2021-02-15-2021-02-21;0;92612;56.6;43594;47.1;4300;4.6;8095;8.7;36623;39.5
FR;2021-02-16-2021-02-22;0;96830;57.4;47647;49.2;4477;4.6;8532;8.8;36174;37.4
FR;2021-02-17-2021-02-23;0;100009;58.1;50904;50.9;4831;4.8;8841;8.8;35433;35.4
